,H2
1498,9.12802
1499,10.8603
1500,12.3577
1501,13.3943
1502,13.6934
1503,13.6934
1504,13.6934
1505,13.6934
1506,13.6934
1507,13.6934
1508,13.6934
1509,12.5484
1510,11.4034
1511,10.2584
1512,9.11345
1513,9.11345
1514,9.11345
1515,7.96845
1516,6.82345
1517,6.82345
1518,6.82345
1519,6.82345
1520,6.82345
1521,6.82345
1522,6.82345
1523,6.82345
1524,6.82345
1525,6.82345
1526,6.82345
1527,6.82345
1528,6.82345
1529,5.67845
1530,4.53345
1531,3.38845
1532,2.24345
1533,1.09845
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.290112
1642,0.529002
1643,0.640536
1644,0.640536
1645,0.640536
1646,0.640536
1647,0.640536
1648,0.640536
1649,0.640536
1650,0.640536
1651,0.640536
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.028662
1665,0.115137
1666,0.169937
1667,0.268452
1668,0.268452
1669,0.268452
1670,0.268452
1671,0.268452
1672,0.268452
1673,0.268452
1674,0.268452
1675,0.268452
1676,0.268452
1677,0.268452
1678,0.268452
1679,0.268452
1680,0.12257
1681,0.12257
1682,0.12257
1683,0.12257
1684,0.12257
1685,0.12257
1686,0.12257
1687,0.159258
1688,0.647855
1689,1.49056
1690,2.71764
1691,3.73161
1692,4.51249
1693,4.87281
1694,4.87281
1695,4.87281
1696,4.87281
1697,4.87281
1698,4.87281
1699,4.87281
1700,4.87281
1701,4.87281
1702,4.87281
1703,4.87281
1704,4.87281
1705,4.87281
1706,4.87281
1707,4.87281
1708,4.87281
1709,4.87281
1710,4.87281
1711,4.87281
1712,4.87281
1713,4.87281
1714,4.87281
1715,4.87281
1716,4.87281
1717,4.87281
1718,4.87281
1719,4.87281
1720,3.72781
1721,2.58281
1722,1.43781
1723,1.43781
1724,0.292809
1725,0.292809
1726,0.292809
1727,0.292809
1728,0.292809
1729,0.292809
1730,0.292809
1731,0.292809
1732,0.292809
1733,0.292809
1734,0.292809
1735,0.658122
1736,1.56662
1737,2.77497
1738,4.03539
1739,5.10139
1740,5.9541
1741,6.35667
1742,6.35667
1743,6.35667
1744,6.35667
1745,6.35667
1746,6.35667
1747,6.35667
1748,5.21167
1749,4.06667
1750,4.06667
1751,4.06667
1752,4.06667
1753,4.06667
1754,2.92167
1755,2.92167
1756,1.77667
1757,1.77667
1758,2.13739
1759,3.12822
1760,4.50325
1761,6.09106
1762,7.71844
1763,9.25469
1764,10.6185
1765,11.5456
1766,11.8235
1767,11.8235
1768,11.8235
1769,11.8235
1770,11.8235
1771,11.8235
1772,11.8235
1773,11.8235
1774,11.8235
1775,11.8235
1776,11.8235
1777,11.8235
1778,11.8235
1779,11.8235
1780,11.8235
1781,11.8235
1782,11.8235
1783,11.8235
1784,11.9611
1785,12.3498
1786,12.8727
1787,13.3332
1788,13.6746
1789,13.6934
1790,13.6934
1791,13.6934
1792,13.6934
1793,13.6934
1794,13.6934
1795,13.6934
1796,13.6934
1797,12.5484
1798,12.5484
1799,12.5484
1800,12.5484
1801,11.4034
1802,11.4034
1803,10.9872
1804,9.84222
1805,9.84222
1806,9.84222
1807,9.87075
1808,10.3631
1809,11.1186
1810,11.9174
1811,12.6801
1812,13.3533
1813,13.6934
1814,13.6934
1815,13.6934
1816,13.6934
1817,13.6934
1818,13.6934
1819,13.6934
1820,13.6934
1821,13.6934
1822,13.6934
1823,13.6934
1824,13.6934
1825,13.0114
1826,13.0114
1827,13.0114
1828,13.0114
1829,13.0114
1830,13.0114
1831,13.0114
1832,13.0286
1833,13.0725
1834,13.1857
1835,13.3146
1836,13.3512
1837,13.3512
1838,13.3512
1839,13.3512
1840,13.3512
1841,13.3512
1842,13.3512
1843,13.3512
1844,13.3512
1845,13.3512
1846,13.3512
1847,12.2062
1848,11.0612
1849,11.0612
1850,11.0612
1851,9.91623
1852,9.91623
1853,9.91623
1854,9.91623
1855,10.1104
1856,10.6909
1857,11.5584
1858,12.5987
1859,13.2972
1860,13.6934
1861,13.6934
1862,13.6934
1863,12.5484
1864,12.5484
1865,12.5484
1866,11.4034
1867,10.2584
1868,10.2584
1869,9.11345
1870,7.96845
1871,6.82345
1872,5.67845
1873,5.67845
1874,5.67845
1875,4.53345
1876,3.38845
1877,3.38845
1878,3.38845
1879,3.81574
1880,4.748
1881,5.32443
1882,6.45632
1883,7.72951
1884,8.65966
1885,9.10977
1886,9.10977
1887,9.10977
1888,7.96477
1889,6.87
1890,5.725
1891,4.58
1892,3.435
1893,3.435
1894,3.435
1895,2.29
1896,2.29
1897,2.29
1898,2.29
1899,1.145
1900,0.0
1901,0.0
1902,0.469166
1903,1.58144
1904,3.21904
1905,4.99226
1906,6.76548
1907,8.5387
1908,10.3119
1909,11.596
1910,12.1359
1911,12.1359
1912,12.1359
1913,12.1359
1914,12.1359
1915,12.1359
1916,10.9909
1917,10.9909
1918,10.9909
1919,10.9909
